clusters9,Features9,weights
0,purchase,0.3116101288537346
0,equipment,0.24573467252538947
0,new,0.09609148560579772
0,community,0.06412370593899806
0,provide,0.05927804695110183
0,program,0.052665464020755524
0,enhance,0.052660168810931114
0,increase,0.04902860256350293
0,club,0.047248905916842915
0,improve,0.044804054075859835
0,enable,0.04414039048735653
0,area,0.04290370057234061
0,child,0.03952950292575819
0,help,0.03763063566529191
0,sport,0.03750758257086369
0,youth,0.036917170897575506
0,organization,0.03634602699377271
0,quality,0.034350099705036816
0,activity,0.03257614393481629
0,member,0.030687957754503812
0,age,0.03020497585106989
0,training,0.02994330974663519
0,order,0.02991530564859588
0,service,0.029037588977628915
0,recreational,0.028061197212604857
0,support,0.02751926469606513
0,opportunity,0.02691321649441674
0,event,0.02687678774512756
0,access,0.02629025897274851
0,senior,0.025768206397335756
0,participate,0.02548030733186535
0,install,0.025295416747263405
0,facility,0.02330987994215945
0,continue,0.02313772406227918
0,local,0.022350461391382994
0,group,0.02209909830496173
0,upgrade,0.02171899552939296
0,centre,0.020544641456005312
0,physical,0.020463860645704955
0,offer,0.01916203551258705
0,expand,0.01824346762659964
0,public,0.017447276898197604
0,disability,0.01636345679719343
0,resident,0.015786721558399844
0,festival,0.015444591648004498
0,need,0.015259838567557167
0,promote,0.015156019996435463
0,young,0.015131044527059021
0,skill,0.015093511013296177
0,ensure,0.014575373007196846
0,make,0.014558206853581956
0,purchasing,0.014541015525144006
0,replace,0.014353635945392493
0,volunteer,0.014161882727938365
0,include,0.013830180001243276
0,assist,0.013789435922072761
0,space,0.013109705131667062
0,art,0.01294948999151033
0,learn,0.012931742371752448
0,development,0.01227260057605573
0,develop,0.012127306975271222
0,create,0.01166993549171027
0,county,0.011414506439120356
0,accessible,0.01119598692398266
0,cultural,0.011115751342855883
0,cost,0.010856903125045884
0,resource,0.010762475201935493
0,adult,0.010637332506510416
0,hire,0.01032544370441346
0,staff,0.010042141214596413
0,food,0.00943384646675626
0,establish,0.009280373788001098
0,family,0.00897027115899545
0,region,0.008772428029833105
0,fund,0.008663088870598681
0,renovate,0.008440527340327767
0,social,0.008237967846831958
0,active,0.008157798370827573
0,school,0.00801917142567706
0,woman,0.007489114067865933
0,implement,0.006997189837681779
0,awareness,0.006919213982663244
0,work,0.006557742490683255
0,building,0.006130570743952301
0,deliver,0.005706950198525826
0,plan,0.005583451193325649
0,health,0.005413597283410295
0,heritage,0.005333307364562424
0,education,0.00487661053477413
0,workshop,0.004781272574840783
0,build,0.004310758722070559
0,project,0.003994128965367503
0,engage,0.00394699571444399
0,coordinator,0.0038881561549931297
0,culture,0.0037801523442627
0,capacity,0.0033650137835043873
0,initiative,0.002725861104581493
0,life,0.0019577847502926867
0,impact,0.0012564622166143034
0,safety,0.0008011663079766908
1,community,0.1444630276256592
1,facility,0.13864816107848899
1,accessible,0.10783984241472006
1,make,0.09566563680979234
1,renovate,0.08567939942599417
1,install,0.08096030972071111
1,replace,0.07349531825307054
1,space,0.07298571540175015
1,upgrade,0.07135923796362471
1,centre,0.07097430774351604
1,building,0.0583826887362308
1,new,0.05555183016900773
1,provide,0.05451141174809247
1,activity,0.05117155642207085
1,recreational,0.050834886343249557
1,area,0.04841061143049324
1,access,0.04751029271697885
1,improve,0.047324209353346955
1,increase,0.044007839656807816
1,ensure,0.04203930043195154
1,member,0.04100395751346757
1,group,0.03900079002478436
1,club,0.03547695711664217
1,resident,0.03173703417181166
1,continue,0.030809448204078972
1,age,0.030017394125361373
1,program,0.029994606659602213
1,senior,0.02775546072620547
1,create,0.02748435124282541
1,disability,0.02627292026149361
1,physical,0.024948420724992492
1,enhance,0.02442857946407861
1,help,0.02442429297597015
1,cultural,0.023929928460844584
1,social,0.023893606999460682
1,organization,0.02316029269848453
1,order,0.02303838488160454
1,local,0.021891326156585844
1,equipment,0.02130138375389526
1,include,0.021292556138551477
1,service,0.020776673152566247
1,enable,0.019637758003554318
1,event,0.019275941793893192
1,sport,0.018414168780316993
1,child,0.018409801370748404
1,participate,0.018104920865620898
1,cost,0.01694863805061161
1,public,0.016487080435033843
1,opportunity,0.016333403354089213
1,purchase,0.014239214888242237
1,offer,0.012566268283274682
1,family,0.012219525277658277
1,support,0.011543364597893865
1,need,0.010920611267160953
1,heritage,0.010630361019612782
1,art,0.010563957633810657
1,quality,0.010203678661949532
1,youth,0.01017065624530143
1,build,0.008858062930215335
1,expand,0.008834770586424255
1,food,0.007834423480943039
1,purchasing,0.007804601193178902
1,adult,0.007730523540520182
1,assist,0.006941410665176264
1,health,0.006701555702668437
1,fund,0.006681252561573989
1,resource,0.006374984443102634
1,county,0.006228037821295606
1,work,0.006087734467164387
1,project,0.005921224942340767
1,school,0.005374957460193466
1,establish,0.0051012664332358475
1,young,0.004736559682716078
1,learn,0.004672573505868857
1,active,0.004659256627148527
1,woman,0.004617542532086867
1,staff,0.004559774004398266
1,promote,0.0045534267524334265
1,region,0.004322859189152118
1,training,0.004196679197983288
1,develop,0.00396144842644194
1,engage,0.003413406833991129
1,volunteer,0.00290261997404196
1,education,0.0027769759010603853
1,workshop,0.0026885569816659984
1,hire,0.0026199840494751997
1,culture,0.002483194362800629
1,development,0.0024307576503568656
1,deliver,0.002423829652885086
1,plan,0.002393848340122491
1,initiative,0.002328662507132278
1,impact,0.0022479557460005103
1,life,0.00190519494239174
1,skill,0.001872493918583218
1,festival,0.0017420885161171153
1,awareness,0.0015187821994739243
1,capacity,0.0012065769098611862
1,coordinator,0.001195701882483197
1,implement,0.001026289610966633
1,safety,0.0004039551595409247
2,community,0.2912425738009123
2,life,0.27285888380774465
2,impact,0.26299865865234257
2,initiative,0.2571044937476366
2,help,0.22676815205299844
2,active,0.14923618439080488
2,engage,0.1031353209465711
2,physical,0.10128277179781064
2,building,0.09963809314840161
2,enhance,0.07983539105701819
2,program,0.0694895446004651
2,activity,0.0694887763930836
2,support,0.05016199672474426
2,need,0.044141282039366736
2,participate,0.03713826983644148
2,accessible,0.03618741922054837
2,new,0.031611860778576924
2,improve,0.029290171781766
2,expand,0.027532280979730168
2,service,0.0272838596737683
2,food,0.02705207471201927
2,develop,0.02504107757630251
2,create,0.023983929243643877
2,install,0.023128196780441673
2,resource,0.022912422783936456
2,group,0.022057771226058925
2,skill,0.02140916206925245
2,upgrade,0.02125896920375952
2,build,0.02069102360503045
2,work,0.020609466163548543
2,social,0.020043273843337588
2,plan,0.01936516083650984
2,deliver,0.019116713291041382
2,purchase,0.019055226568874418
2,youth,0.018769197848770267
2,provide,0.018088056514192548
2,assist,0.0179785164681208
2,replace,0.017746474517484956
2,staff,0.01716733587712163
2,hire,0.016920145075676254
2,equipment,0.016854767935725466
2,disability,0.016360207863205807
2,make,0.016289935404034814
2,access,0.01617611201438568
2,senior,0.016137705145235735
2,centre,0.015485764667681439
2,renovate,0.014923136217521058
2,cost,0.014920283173615793
2,woman,0.014591426041594907
2,training,0.014534356706574972
2,space,0.013719256934196445
2,increase,0.012763460153701897
2,opportunity,0.012594589107574924
2,area,0.012242518574458721
2,local,0.011724133223681661
2,adult,0.010438945918311014
2,volunteer,0.009541193140703343
2,age,0.0094884671661859
2,resident,0.009321564871494903
2,coordinator,0.008966753332106761
2,region,0.008961418993152713
2,implement,0.008897936156917405
2,education,0.008501468285261122
2,workshop,0.008365632039170663
2,child,0.008201064910995618
2,health,0.008161566401595561
2,facility,0.00813019236641465
2,promote,0.008015345723001529
2,project,0.007879873618629298
2,school,0.007859537857114785
2,family,0.0077609140039333795
2,sport,0.00768911411459696
2,development,0.0069035450887279925
2,young,0.006404304228544122
2,establish,0.006302343807453574
2,county,0.005642961749003573
2,quality,0.005421105829866451
2,ensure,0.004985321310389639
2,club,0.004748845897434764
2,safety,0.004748563516470755
2,recreational,0.004724138815919015
2,learn,0.004440714300098681
2,offer,0.004388746241101356
2,enable,0.004149475147241442
2,cultural,0.0036722571463589544
2,member,0.003154920062909065
2,art,0.0030236383607602723
2,awareness,0.0029862955416239756
2,organization,0.00254517176569642
2,capacity,0.0025115857686011786
2,continue,0.002292884891235119
2,order,0.0021552068006558673
2,event,0.0021070650885954677
2,public,0.001813723652169868
2,include,0.0015860725126751526
2,purchasing,0.0014907554385454826
2,heritage,0.0009046911934268142
2,fund,0.0007531627212539763
2,festival,0.0006180170151238962
2,culture,0.0004817061161122157
3,capacity,0.44256627644292734
3,organization,0.15495804770756752
3,increase,0.1393488982436338
3,build,0.13103176979686426
3,program,0.07386849528658034
3,community,0.0709703197561402
3,enhance,0.07088698699653764
3,support,0.06469207645276692
3,develop,0.0585884559306501
3,service,0.057803199222225606
3,volunteer,0.05716548727156672
3,development,0.05388854120570932
3,provide,0.052270440374334946
3,hire,0.04519493392473944
3,staff,0.04171053762357051
3,help,0.036778215006898325
3,training,0.0367145534177814
3,deliver,0.036387448333777855
3,new,0.03466163750921704
3,improve,0.03420418775587144
3,resource,0.032155649198504145
3,equipment,0.03204409785527301
3,expand,0.03184246387570855
3,coordinator,0.031630910735008066
3,plan,0.030818807974247252
3,youth,0.030335882157083896
3,fund,0.02987646816787869
3,art,0.028049027923022746
3,need,0.027772302919260177
3,purchase,0.027388197996274254
3,region,0.026394703887845525
3,group,0.02591988460831561
3,building,0.02531275881876211
3,local,0.0245259331628684
3,area,0.023290345136507667
3,enable,0.020787738856993646
3,county,0.02062439344375106
3,implement,0.020591560780709707
3,member,0.02029232841955909
3,family,0.02020407009548702
3,centre,0.019779196393024452
3,activity,0.01919615498462185
3,order,0.018866887455919062
3,project,0.018557668877039964
3,child,0.01849481733386779
3,initiative,0.017598830088958302
3,festival,0.01742719563743277
