clusters9,Features9,weights
0,purchase,0.3116101288537346
0,equipment,0.2457346725253895
0,new,0.09609148560579772
0,community,0.06412370593899806
0,provide,0.05927804695110182
1,community,0.1444630276256592
1,facility,0.138648161078489
1,accessible,0.10783984241472007
1,make,0.09566563680979234
1,renovate,0.08567939942599417
2,community,0.2912425738009123
2,life,0.27285888380774465
2,impact,0.26299865865234257
2,initiative,0.2571044937476366
2,help,0.22676815205299844
3,capacity,0.44256627644292734
3,organization,0.15495804770756752
3,increase,0.1393488982436338
3,build,0.13103176979686426
3,program,0.07386849528658034
4,safety,0.5273125915493461
4,improve,0.11752486723417448
4,equipment,0.1032243228272663
4,purchase,0.07957055178483123
4,increase,0.07247366298695278
5,heritage,0.46617408164556196
5,art,0.3002204737845372
5,culture,0.2897256020610447
5,life,0.2517221980132789
5,cultural,0.14146536237747115
6,volunteer,0.4013788369519083
6,program,0.10041065708344467
6,support,0.08850760595301613
6,training,0.07846910015343105
6,increase,0.06937962500744273
7,program,0.0954992720639424
7,support,0.09090728068755263
7,community,0.06514323909375103
7,develop,0.0642314321081691
7,provide,0.058435880967571525
8,youth,0.3806424646007742
8,child,0.15669474832052935
8,program,0.1310194832535528
8,skill,0.10746170586281537
8,support,0.0998946700467902
